"autonomous_system_number";"autonomous_system_organization"
58185;"Ministry of Justice of Georgia"
58187;"IRCN Ltd"
58188;"Sharpstream Ltd."
58189;"AVICOM Ltd."
58190;"Network Laboratory, Ltd"
58191;"OOO DevelopOnBox"
58193;"Telecom26 AG"
58194;"LLC Avtokonneks"
58195;"Materom Srl"
58196;"FOP Koniushok Mariya Vasylivna"
58197;"LLC Universal"
58199;"FLP Lialiuk Andrey Nikolaevich"
58201;"IRAN POST Company"
58202;"Tehran KarAra Information Company ( Ltd. )"
58203;"Turk Traktor Ve Ziraat Makinalari A.S."
58204;"Alpis Product Srl"
58206;"Cronos NV"
58208;"GEDEFI Conseil EURL"
58209;"KPT Network B.V."
58210;"SkyNet Ltd."
58211;"Marco Zebut"
58213;"TOTTER MIDI podjetje za proizvodnjo in raziskave, razvoj in trgovino, d.o.o., Menges"
58216;"Erfan Net Fars Internet and Support Services Company PJSC"
58217;"BelKomStroy Ltd."
58218;"Monster Worldwide Limited"
58219;"Ekus Ltd."
58220;"Tomas Budai"
58221;"Domus Magistral ltd"
58222;"Solar Invest UK LTD."
58223;"Jt (global) Limited"
58224;"Iran Telecommunication Company PJS"
58225;"Technology of Assistance Ltd"
58226;"Phusion IM Limited"
58227;"Cartu Bank JSC."
58228;"LLC IT Telecom"
58229;"OOO Equifax Credit Services"
58230;"Intelcom Ltd"
58231;"Joint-stock Commercial Bank Chelindbank"
58233;"MasBytes SL"
58234;"Dirk Rossmann GmbH"
58235;"Joint Stock Commercial Bank Defence Industrial Bank"
58237;"FPH Kabos Wojciech Bochenek"
58238;"MKS Telecom LLC"
58239;"hanspaul-city.net s.r.o."
58240;"NPO Diagnosticheskie sistemyi Ltd."
58241;"Marksovskye Kabelnye Seti Ltd."
58242;"Noc Bilisim Limited Sirketi"
58243;"TELE AG"
58244;"P.E Levrinets Andrey Andriyovich"
58245;"Insignia Lifestyle Boutique limited"
58246;"Lothian Broadband Networks Limited"
58247;"Sc Netveillance Srl"
58249;"Sky Dragon Company With Limited Liability"
58251;"Dade Pardazi Novin Yaran Tosei"
58253;"JSK Baltavtomatika"
58254;"NANO TELECOM Ltd"
58255;"Institute for Nuclear Research of the Russian Academy of Sciences"
58256;"Rayaneh Gostar Farzanegan Ahwaz Company LTD."
58257;"Agrocom Group LLC"
58258;"FGUP Rublevo-Uspenskiy LOK"
58260;"Medartis AG"
58262;"Nrp Network LLC"
58264;"Austevoll Kraftlag BA"
58265;"Level421 GmbH"
58266;"Srpska banka A.D."
58267;"Dadepardazan Shahriar Company"
58269;"CloudHosting SIA"
58271;"FOP Gubina Lubov Petrivna"
58272;"LeaderTelecom B.V."
58273;"Broadband for the Rural North Ltd"
58274;"Eurofootball Bookmaker Company LLC"
58275;"COMP-SHOP s.r.o."
58276;"Agp Media Advertising Srl"
58278;"Assist 24 LTD."
58279;"Federal State Budgetary Institution All Russia Research Geological Petroleum Institute (FGBU"
58281;"Fidus S.a.l"
58282;"Statens IT"
58283;"Institute of Applied Technology"
58284;"OOO RTS Telecom"
58285;"Atri Ltd."
58287;"Emirates Aluminium Company Limited PJSC"
58288;"Optovaya Textile Company, ltd."
58289;"LTD Luis+Povoljie"
58290;"LLC Trans Media"
58291;"ColoCenter b.v."
58292;"Technology Cloud Ltd."
58295;"Integral Menkul Degerler Anonim Sirketi"
58297;"Luch, LLC"
58298;"Cisco Systems Norway AS"
58299;"Openfactory GmbH"
58302;"Studentersamfundet i Trondhjem"
58303;"Rasana Pishtaz Iranian Service Cooperative Co."
58304;"KTS Ltd."
58305;"SYN LTD"
58306;"PE Krylov Dmitriy Viktorovich"
58307;"UNITEL-MEDIA Sp. z o.o."
58308;"Cusae SAS"
58309;"Langate Ltd"
58310;"teleport LLC"
58311;"Intreprinderea De Stat Compania Aeriana Air Moldova"
58313;"Link Telecom LLC"
58314;"Econostroy LLC"
58316;"CJSC Creator Standart"
58318;"Spil Games B.V."
58319;"IE Kazakov Aleksey Dmitrievich"
58320;"Skogsstyrelsen"
58321;"Oxylion S. A."
58322;"Hala Al Rafidain Company for Communications and Internet LTD."
58323;"ComNet Computer im Netzwerk Vertriebs-GmbH"
58324;"Debitex Telecom SASU"
58326;"Fort IT Services Ltd"
58327;"Globe Operator Telecom Sl"
58328;"IMAFEX, spol. s r.o."
58329;"easystores GmbH"
58331;"Rayaneh Asr-e Ertebatat Bam Technology and Engineering Cooperative Co"
58332;"TzOV LAN-NET"
58333;"Saman Insurance Co. (Public Joint Stock)"
58334;"DAWIS IT Sp. z o.o."
58335;"Urzad Miejski w Slupsku"
58337;"PRUTUL SA"
58338;"Part Net Gostar Ltd."
58341;"Open Joint Stock Investment Company ''Zerich Capital Management''"
58344;"LLC Icotel"
58345;"Disenadores Informaticos Y Tecnologicos, S.l."
58346;"Kassenzahnaerztliche Vereinigung Nordrhein"
58347;"AiK Ltd."
58350;"PHU Classcom Sp. z o.o."
58367;"LLC GlavSvyaz"
58369;"PT. Fiber Networks Indonesia"
58371;"Teleradiology Solutions Pvt. Ltd."
58372;"Unit 6"
58375;"Universitas Udayana"
58376;"PT Angkasa Komunikasi Global Utama"
58377;"Sentra Niaga Solusindo, PT."
58379;"PT MPGames"
58381;"Wow Internet Indonesia"
58383;"PT. Sejahtera Damai Bersama"
58385;"PT. Bank Syariah Mandiri"
58387;"Badan Pengawas Obat dan Makanan"
58390;"PT. Faasri Utama Sakti"
58391;"PT Citra Media Solusindo"
58392;"PT. Sewiwi Indonesia"
58394;"Badan Pemeriksa Keuangan (BPK RI)"
58395;"PT. DUNIACATFISH KREATIF MEDIA"
58396;"PT. DEWATA TELEMATIKA"
58397;"PT Infinys System Indonesia"
58398;"PT. Indika Energy Tbk"
58399;"PT. Bubu Networks Indonesia"
58400;"Universitas Negeri Semarang"
58403;"Bank Pembangunan Daerah DIY"
58404;"PT Qwords Company International"
58405;"18A/19,DODDANEKUNDI"
58406;"Internet Systems Consortium"
58408;"FOCUSNET MANAGEMENT PTY LTD"
58409;"Lumo Energy Australia Pty Ltd"
58411;"Unit A-E, 13/F, Golden Sun Centre"
58414;"Computershare Technology Services"
58418;"Counsel's Chambers Limited"
58419;"Datavail Infotech Pvt Ltd"
58421;"Parliamentary Service"
58422;"Insearch Limited"
58423;"72 Grafton Rd"
58424;"#3BEo, Sangkat Beoun Prolit, Khan 7Makara, Phnom Penh."
58425;"PT. Centra Global Investama"
58426;"292 Gibraltar Drive"
58427;"Global Entourage Services"
58428;"Altius Block, 9th Floor Olympia Tech Park"
58429;"Altius Block, 9th Floor Olympia Tech Park"
58430;"TCC Technology Co., Ltd."
58431;"Hillside (Technology) Ltd"
58433;"Himalayan Bank Ltd."
58434;"Mobilizer Pty Ltd"
58436;"SECUREAX PTE LTD"
58437;"658 Muralla Street, Intramuros"
58438;"ApnaTeleLink pvt. Ltd."
58439;"ICNC LLC"
58440;"Empired Ltd"
58441;"WTT HK Limited"
58442;"Film City 19"
58443;"RackCentral"
58444;"Weta Digital Ltd"
58445;"Dutch-Bangla Bank Limited, Your Trusted Partner"
58446;"Police Bank Limited"
58447;"Emaxx Telecom Co Ltd"
58448;"CONAC (China Organizational Name Administration Center)"
58449;"PT Nusa Satu Inti Artha"
58451;"EASYHOST SOLUTION LIMITED"
58453;"Level 30, Tower 1"
58456;"Institute of Engineering, Pulchowk Campus"
58457;"Gandhi Nagar"
58459;"Websurfer International Transit"
58460;"Digicel (PNG) Ltd"
58461;"No.288,Fu-chun Road"
58462;"Datavail Infotech Pvt Ltd"
58463;"PT.PGAS TELEKOMUNIKASI NUSANTARA"
58464;"Daraco IT Services"
58465;"25th Floor Canadia Tower N0. 315 Presh Ang Duong Street"
58466;"CHINANET Guangdong province network"
58470;"IX Peering for Mobilink and Link Direct International."
58471;"G.I.T Net Management Limited"
58473;"Crosspoint Telecommunications Pty Ltd"
58474;"PT. MATRIXNET GLOBAL INDONESIA"
58475;"Universitas Lambung Mangkurat"
58476;"DIREKTORAT JENDERAL PAJAK"
58477;"Argon Data Communication"
58478;"PT. Pasifik Satelit Nusantara"
58479;"Trisakti University"
58480;"PT Bank CIMB Niaga Tbk"
58481;"PT. Astra International, Tbk"
58482;"PT. Palapa Media Indonesia"
58484;"PT. PRATESIS"
58485;"Wifian Solution PT."
58486;"PT. Intelex Technet Global"
58487;"Rumahweb Indonesia CV."
58488;"PUSDATIN KKP"
58489;"PT. Progressivmedia Indonesia"
58491;"PT Sarana Mukti Adijaya"
58492;"Universitas Islam Sultan Agung"
58495;"PT Parsaoran Global Datatrans"
58497;"PT Integra Ventura"
58498;"PT Infrastruktur Bisnis Sejahtera"
58499;"CV TIKA UTAMA"
58503;"PT Pusat Media Indonesia"
58504;"TECHMINDS NETWORKS PVT. LTD."
58505;"Kohen Technology Group Pty Ltd"
58506;"Head Office, NBP Building, I.I Chundrigar Road"
58507;"Wireline"
58509;"The Uniting Church in Australia, Property Trust (Q)"
58511;"Anycast Global Backbone"
58513;"TELEKOMUNIKASI INDONESIA INTERNATIONAL, PTE.LTD"
58514;"PT. Supernet Advance Teknologi"
58515;"Allied Bank Limited"
58516;"Amsterdam Internet Exchange"
58517;"China Telecom"
58518;"China Telecom"
58519;"Cloud Computing Corporation"
58520;"Nanton"
58521;"18 Murray Street"
58522;"HTC Global Services (INDIA) Private Ltd"
58523;"Miller Ford Tech Pte Ltd"
58524;"FSM Telecommunications Corporation"
58526;"CIBI Information Inc."
58527;"Management Information System (MIS)"
58528;"NetStrategy Pty Ltd"
58529;"ZNet Technologies Private Limited"
58530;"PingCo Pty Ltd"
58532;"Newmont Mining Services Pty Ltd"
58533;"Agility Applications Pty Ltd"
58536;"CONAC (China Organizational Name Administration Center)"
58537;"Sundaram Infotech Solutions(A Division of Sundaram Finance)"
58539;"Changsha"
58540;"Zhuzhou"
58541;"Xiangtan"
58542;"Yueyang"
58543;"Guangdong"
58544;"http://www.tvdirect.tv"
58545;"Dubbo City Council"
58551;"PT. Mediatama Telematika Nusantara"
58552;"PT Multidata Rancana Prima"
58553;"PT 3D Tech"
58554;"PT Ionsoft"
58556;"PT Universal Komunikatama"
58557;"PT IONPay Networks"
58558;"PT Jagat Media Teknologi"
58559;"IPScape Pty Ltd"
58561;"Jl. Warung Buncit Raya No. 37"
58562;"5 Ang Mo Kio Street 62"
58563;"CHINANET Hubei province network"
58571;"CHINANET Guangdong province Foshan network"
58576;"Alinta Asset Management Pty Ltd"
58578;"Pacific Internet Pte Ltd"
58579;"13th Floor, Yue Xiu Building"
58580;"Fastrack Technology"
58582;"Androgogic Pty Ltd"
58583;"Digiweb Australia PTY"
58584;"IDP Education Pty Ltd"
58587;"Fiber@Home Limited"
58589;"Cloud Earth Pty Ltd"
58590;"Assam Electronics Development Corp Ltd"
58591;"Code 42 Australia"
58593;"Shanghai Blue Cloud Technology Co.,Ltd"
58594;"INFRANET SOLUTIONS"
58597;"M.S. Info Web Pvt. Ltd."
58598;"Mongolia"
58599;"Cybergate Limited"
58600;"Flip Services Limited"
58601;"Aamra technologies limited"
58602;"i2c inc."
58604;"Unit 3401 One Corporate Centre"
58606;"Viewbank Rise Networks"
58608;"TTML Mumbai Turbhe"
58609;"Engro Corporation Limited"
58610;"Telnet Telecommunication Limited"
58611;"Charles Darwin University"
58612;"DiverseIT Pty Ltd"
58613;"Bonntech Business Solutions"
58615;"Roots Communication Ltd"
58616;"Equitel Communication Ltd"
58617;"TPL Trakker Ltd"
58620;"Neustar, Inc"
58621;"Vodien Internet Solutions Pte Ltd"
58622;"LCC Terminal, Jalan KLIA S3"
58623;"BG TEL LIMITED"
58624;"End 2 End Limited"
58625;"Ulaanbaatar-211213. Chingeltei district"
58626;"MAGSNET INC."
58627;"OneAsia Network Limited"
58629;"Global Fair Communications Ltd."
58630;"Wasel Telecom Company"
58631;"Vista Entertainment Solutions Ltd."
58634;"Presilient Pty Ltd"
58637;"CERT Australia, Attorney-General's Department"
58640;"NEXTRA TELESERVICES PVT. LTD."
58641;"Trunkoz Technologies Pvt Ltd"
58642;"HRC Technologies Ltd"
58644;"Vonex Pty Ltd"
58645;"Miyagi Cable TV Co.,Ltd"
58647;"Kagawa University"
58648;"AT-I, Inc."
58649;"GMO Internet,Inc"
58650;"Warabi Cable Vision Co., Ltd."
58651;"GMO Internet,Inc"
58652;"Kochi University"
58653;"UD Trucks Corporation, Volvo Information Technology Japan"
58654;"BLESS Co.,Ltd."
58655;"SkyTel Communications Limited"
58656;"bdHUB Limited"
58657;"103.12.166.0/24 & 103.31.108.0/24"
58659;"Quest Consultancy Pvt Ltd"
58663;"Britannia House,22,2nd Floor"
58664;"ADOBE-NET-INFRA"
58665;"Bangla Tel Ltd"
58666;"Vorco"
58667;"SmartNet Hosting and connectivity"
58668;"BD Link Communication Ltd"
58670;"Bangladesh International Gateway Limited"
58672;"Maxnet Online"
58677;"DOF Bldg., BSP Complex"
58678;"Intech Online Private Limited"
58680;"Pakistan Mercantile Exchange Limited"
58681;"New South Wales Police"
58682;"Level3 Carrier Ltd."
58683;"Rackspace.com Sydney"
58684;"Unique Infoway Limited"
58685;"DBL Telecom Ltd"
58686;"Swinburne University of Technology"
58687;"Logi-Tech Pty Ltd"
58688;"RADIANT COMMUNICATIONS LTD IIG"
58689;"ICC Communication"
58690;"Internet East Co., Ltd."
58691;"Delta"
58693;"NNI"
58695;"Unicef Bangladesh"
58696;"100 Whale Beach Road"
58697;"G/38 Qala e Mosa Shaheed Square"
58698;"1 northfields av"
58699;"Greenland IIG Bangladesh"
58700;"Spice Digital Ltd."
58701;"House 1Katasur Ground Floor"
58702;"(n)Code Solutions - A Division of GNFC Ltd."
58703;"Amrita Vishwa Vidyapeetham"
58704;"Intraglobe Communications Ltd."
58706;"Xavier School"
58707;"Support Group Services Pty Ltd"
58708;"CRP-"
58710;"A1 Richmond Road"
58712;"Level 13, 155 Castlereagh St"
58713;"11/13 Corporate Drive"
58714;"19th Floor, Tower C and D, Building No. 14, DLF Cyber City"
58715;"EARTH TELECOMMUNICATION (Pvt) LTD."
58717;"Summit Communications Ltd"
58718;"WTPL"
58722;"51 JALAN LANJUT"
58723;"World Vision Australia"
58725;"ZYE TELECOM PVT LTD"
58726;"#203, Express tower"
58729;"WTH Pty Ltd"
58731;"Telekomunikasi Indonesia International (T.L.) S.A."
58732;"Platinum Communication Limited"
58734;"Brisbane Convention and Exhibition Centre"
58735;"Datacom Systems (SA)"
58736;"Dhaka Fiber Link Ltd."
58737;"International Finance and Investment Company Limited"
58738;"CLOUDTELECOM"
58739;"Secure Bits Pty Ltd"
58742;"Affinity ID Limited"
58744;"Mirror Tower"
58749;"Delta"
58750;"Logic Plus"
58752;"Delta Infocom Limited."
58755;"150 Orchard Road #06/16, ORchard Plaza"
58757;"Ace Wireless Network Phils. Inc."
58759;"Artech Infosystems Pvt Ltd"
58761;"Online Recharge Services Pvt Ltd"
58762;"Candor infosolution Pvt Ltd"
58763;"Balaji Services"
58764;"Pipetel Communications Pvt Ltd"
58765;"Bittel Telecom Pvt Ltd"
58766;"VOIP COMMUNICATIONS PVT LTD"
58768;"Daffodil Online Ltd."
58779;"i4HK Limited"
58780;"Alphawest Services Pty Ltd"
58784;"Rissho University"
58785;"Tohoku Gakuin University"
58788;"Chiroro-Net Co.,Ltd."
58789;"DUNAMIS Co.,Ltd"
58791;"GMO Internet,Inc"
58792;"WirelessGate, Inc."
58793;"NIFTY Corporation"
58794;"Testlabs Australia PTY. LTD."
58795;"1 North Bridge, Road # 19-09"
58796;"Lot No. 77-1, 1st Floor, Wisma New Far East, Jalan Lintas"
58797;"Carpathia Hosting"
58800;"ACE IT Networks Limited"
58807;"China Mobile International Limited"
58809;"IT-Corea-NET, Content Provider, Quezon City, Philippines"
58811;"CONAC (China Organizational Name Administration Center)"
58812;"Information Technology Center"
58813;"Dtech Limited"
58814;"Bank Asia Limited"
58815;"Telekomunikasi Indonesia International (HongKong) Limited"
58816;"PT Garena Indonesia"
58817;"PT. Usaha Mediantara Intranet"
58818;"Universitas Muhammadiyah Yogyakarta"
58819;"PT Arsenet Global Solusi"
58820;"Apikmedia-as-id"
58821;"PT Lintas Jaringan Nusantara"
58822;"Universitas Negeri Surabaya"
58824;"Universitas Negeri Medan"
58826;"ping by ICOM Bangladesh Ltd"
58844;"Guangdong Aofei Data Technology Co., Ltd."
58845;""
58850;"Bloomberg Financial Information (Beijing) Co Ltd"
58852;"Guizhou provincial radio and television information Network Inc"
58854;"Xiamen Aiya network Technology Co. Ltd."
58862;"Microsoft (China) Co., Ltd."
58866;"China Financial Certification Authority"
58868;"TechPath Pty Ltd"
58869;"Ray White (Real Estate) Pty Ltd"
58872;"Fujitsu Consulting India Pvt Ltd"
58875;"Fujitsu Consulting India Pvt Ltd"
58876;"United Energy Pakistan Limited"
58877;"Charles Sturt University"
58879;"Shanghai Anchang Network Security Technology Co.,Ltd."
58880;"Echidna Software Pvt. Ltd"
58882;"Freshstack Internet"
58884;"SM Prime Holdings, Inc."
58885;"IQON GLOBAL PTE LTD"
58889;"Zx Online Ltd"
58890;"InfoLink"
58891;"Department of Education, Region VII, Central Visayas"
58893;"Gemnet Enterprise Solutions"
58894;"Schneider Electric (AUSTRALIA) Pty Ltd"
58895;"Ebone Network (PVT.) Limited"
58898;"Rainbow communications India Pvt Ltd"
58902;"Impetus Infotech India Pvt Ltd"
58906;"Shivansh Infotech pvt Ltd"
58907;"Acquire Asia Pacific Pty Ltd"
58909;"IBEE Software Solutions Pvt. Ltd."
58910;"ACODA Networks Sdn Bhd"
58912;"Progressive Tower (1st Floor)"
58913;"48/19 Supapong 3 Alley, Srinakarin Rd."
58914;"Puddlenet Pty Ltd"
58915;"Arktisma Pty Ltd"
58916;"Jet Systems Pty Ltd"
58920;"IPSec Pty Ltd"
58921;"Capricorn Society Limited"
58922;"Microchannel Hosting Pty Ltd"
58923;"InterCloud ltd"
58924;"Customer Contract: Mr.Thanasak Chaiyakul"
58926;"Banglanet"
58927;"M.D.G. IT Pty Ltd"
58928;"Cloud365 Australia Pty Limited"
58929;"Datbury Pty Ltd"
58931;"SHENNAN DATA LIMITED"
58932;"Palau Wifi Corporation"
58933;"Zeroport Limited"
58935;"LankaBangla Information System Limited"
58936;"Managed Hosted Applications Limited"
58940;"Dedicated Servers Australia"
58944;"Telekomunikasi Indonesia International (HongKong) Limited"
58945;"Virgo Communication Ltd"
58946;"GRAMEEN COMMUNICATIONS"
58947;"Software Shop Limited"
58948;"ASIA ACCESS TELECOM PTE LTD"
58951;"GRANT BROADCASTERS PTY LTD"
58952;"Frontiir Co. Ltd"
58953;"Delta"
58955;"Bangmod Enterprise Co., Ltd."
58958;"Rm 1, 1/F, Hung Tai Bldg., 37-39 Hung To Road, Kwun Tong"
58961;"Perhimpunan Klik Indonesia"
58962;"SiChuan Century LiXin Financial Management Consulting Co., LTD"
58963;"Infonet online solutions private limited"
58965;"ANJANI BROADBAND SOLUTIONS PVT.LTD."
58966;"Benchmark Infotech Services Pvt.Ltd."
58967;"RSBS ONLINE SERVICES PRIVATE LIMITED"
58969;"Kerala Communicators Cable Limited"
58970;"SINGH INTERNET SERVICES PVT. LTD."
58971;"Shine Communications Pvt Ltd"
58972;"BHOMIKA"
58974;"IT. Division, Admin Block"
58976;"Sophos Technologies Pvt. Ltd"
58979;"Cloud Registry Pty Ltd"
58980;"M5 Networks Australia PTY LTD"
58982;"DataPipe"
58983;"ACODA Networks Sdn Bhd"
58984;"DIGITAL KITES PRIVATE LIMITED"
58985;"GS Network (Hong Kong) Ltd."
58986;"IDLE ANTS MEDIA PRIVATE LIMITED"
58989;"VORTECH BUSINESS SOLUTIONS PTY LTD."
59008;"Beijing flash newsletter cas telecommunication"
59009;"QingDao WangXin Telcom Corp. Limited"
59010;"UnionFriend Network information service Co.,LTD"
59011;"Beijing Yunlin Network Technology Co.,Ltd."
59015;"Global ICT Solutions (ShangHai) CO.,LTD"
59019;"Beijing Kingsoft Cloud Internet Technology Co., Ltd"
59023;"Forest Eternal Communication Tech. co.ltd"
59025;"Beijing Sankuai Technology Co.,Ltd."
59028;"Hangzhou Alibaba Advertising Co.,Ltd."
59029;"People.Cn CO.,LTD"
59034;"BeiJing Wish Network Technology CO.,LTD."
59037;"National Computer Network And Information"
59045;""
59049;"Wal-mart (China) Investment Co., Ltd."
59050;"Beijing Cloud-Ark Technology Co.,Ltd."
59065;"PayPal Network Information Services (Shanghai) Co., Ltd."
59067;"Microsoft Mobile Alliance Internet Services Co., Ltd"
59072;"Shenzhen ESIN Technology Co., Ltd"
59073;"Bank of China Limited"
59074;"Centrin Data Systems Ltd"
59077;"Shanghai UCloud Information Technology Company Limited"
59078;"Yunify Technologies Inc."
59083;"Shanghai Kuanhui Tech. Co.,ltd"
59089;"NO.18 Building University of Technology"
59091;"Kanagawa Institute of Technology"
59092;"kronos.Co.,Ltd."
59093;"IMABARI CATV CORPORATION"
59094;"esu2 Corporation"
59095;"ACCELIA"
59096;"Meiji Gakuin University"
59097;"Okinawa Cross Head Co., Ltd."
59099;"BroadBand Tower, Inc."
59101;"mirai-bs corporation"
59102;"GENES Co., Ltd."
59103;"SoftEther Corporation"
59104;"Soka University"
59105;"Home NOC Operators Group"
59107;"Hachinohe Cable Television Co."
59108;"KATCH NETWORK INC."
59109;"Hitachi,Ltd., Cloud services Division"
59110;"BPS Inc."
59111;"Akita International University"
59112;"Plus One marketing Ltd."
59113;"RICOH JAPAN Corporation"
59114;"Recruit Holdings Co.,Ltd."
59115;"CYBERDYNE Inc."
59116;"American International Group KK"
59117;"RBNET Co.,Ltd."
59118;"NRI SecureTechnologies, Ltd."
59120;"Tsukuba Internet Service Corporation"
59121;"Asahi Kasei Networks Corporation"
59122;"Ranger-Systems Co., Ltd."
59123;"Kakaku.com, Inc."
59124;"KYOTO Prefectural Government"
59125;"FAMILY NET JAPAN INCORPORATED"
59126;"NCT CO.,LTD."
59127;"Newmedia Corporation"
59128;"Kyoto University Microcomputer Club"
59129;"LogicLinks, Inc."
59131;"Universitas Katolik Soegijapranata"
59133;"PT Daya Sinergi Telekomunikasi"
59134;"PT. Datacomm Diangraha"
59135;"PT Suraloka Digital Kreatif"
59138;"Universitas STIKUBANK"
59140;"PT Global Borneo Nusantara"
59141;"PT Centrin Online Prima"
59142;"Pemerintah Kota Batam"
59143;"PT. Wijaya Karya"
59144;"PT RHB OSK SECURITIES INDONESIA"
59146;"BP Berau Indonesia"
59147;"PT. Drupadi Prima"
59148;"PT Xepia Prima"
59149;"PT. TUJUH DELAPAN SEMBILAN NET"
59150;"PT Rtiga Global Media"
59151;"Bidang Layanan Teknologi dan Informasi Dinas Perhubungan"
59155;"PT. Pemuda Berkarya Manunggal"
59156;"PT Bali Soket Informindo"
59157;"Sekolah Tinggi Kesejahteraan Sosial"
59158;"PT Blambangan Cahaya Timur"
59159;"BADAN PENGKAJIAN DAN PENERAPAN TEKNOLOGI"
59160;"Badan Kependudukan dan Keluarga Berencana Nasional"
59161;"Dnetworks Internet Services Pvt. Ltd."
59162;"U.P. COMMUNICATION SERVICES PVT LTD"
59163;"GLA University"
59164;"Apollo Online Services Pvt ltd"
59165;"Auspice Infratel Pvt. Ltd."
59166;"SAY DATA Solutions"
59169;"KNGD INFOSYS PVT LTD"
59170;"Wall Depot Telecom Sevices Ltd"
59171;"Matrix Tech Labs"
59179;"MINS Technologies Private Limited"
59183;"Correl IT Services Pvt Ltd"
59185;"NETRUN TECHNOLOGIES PVT LTD"
59188;"IndianOil Corporation Limited"
59189;"Department of Information Technology & Communication, Rajasthan"
59193;"IIT Hyderabad"
59194;"Central Bank of India"
59195;"Indian Energy Exchange Ltd"
59196;"Kavish online services private limited"
59197;"Bharatiya Reserve Bank Note Mudran Pvt. Ltd."
59203;"Angel Drops Ltd."
59204;"VoIP Line Telecom Pty. Ltd."
59206;"Catholic Network Australia Limited, CESANet, South Australia"
59207;"SYD Office"
